model,well_id,rmse,mae,n_rows,fold
Random Forest,67847288,14.515868796541827,11.29606784260993,9174,4
Random Forest,67a8da4a,28.783094503335125,23.53542025462003,6645,5
Random Forest,684a6fc1,4.413790468629097,3.0282227105114923,11449,5
Random Forest,698930d1,72.59081596710955,47.115917387040945,6498,2
Random Forest,699ea575,18.076975301598335,15.077869615915775,5474,4
Random Forest,69c1bdad,44.65136080525355,32.52367389805473,4645,2
Random Forest,69e41fa6,42.97410028028817,34.16050637555834,7167,3
Random Forest,6a0ff78e,9.393727154204214,6.772334544824307,7890,2
Random Forest,6a8fa194,68.05926116416138,36.615068397442734,4657,5
Random Forest,6ae68655,21.148331182431956,14.814691154979577,5948,5
Random Forest,6d1d74e1,42.32666351195959,27.86524479638234,7316,1
Random Forest,6d590e26,334.9938316760237,285.84503199149515,7842,2
Random Forest,6d6d93af,149.04923728018127,102.43003228296035,5305,3
Random Forest,6dbe4b60,27.254773453563033,20.838783343764973,6673,2
Random Forest,6e6d122c,48.54765512348792,33.1605072541178,7083,3
Random Forest,6e9ccd38,13.699401998732577,10.766413438947007,9619,5
Random Forest,6ea22614,23.498605464692215,20.164333296886458,7894,1
Random Forest,6ede926a,7.074482075459441,5.269071714072137,6621,2
Random Forest,708caea9,34.02189181507666,19.228368152660597,8482,4
Random Forest,70925e23,50.99514011501477,45.78182370124913,8072,3
Random Forest,70e1788b,32.680047765620856,27.48358784722553,11338,4
Random Forest,71642c7d,39.30964628573067,31.278495462116613,6657,5
Random Forest,71ccf778,38.31274084243504,26.18637186643835,4623,5
Random Forest,7224331b,23.017321765138718,18.423774844413288,7566,5
Random Forest,722cf0d8,17.75878802562272,14.966225251593507,7275,3
Random Forest,7256229b,41.53923403020865,21.461591826746655,6972,2
Random Forest,726f3dc2,23.317204375261902,17.569828328418797,8619,5
Random Forest,7271dd80,6.538694849909088,3.7343488768068176,5765,2
Random Forest,727a3a10,19.82508052565912,16.81483192003579,6342,3
Random Forest,729665c0,30.708622654503564,25.74780048002361,5775,5
Random Forest,729e9750,7.677319802944461,5.528352695606388,7427,1
Random Forest,729f4217,13.333688296023375,8.554382463902446,7592,1
Random Forest,72dd8501,27.236220639299663,22.020542998902666,6928,3
Random Forest,73348914,58.29246623648119,50.66241660300965,5686,2
Random Forest,739a914f,72.35008998322172,37.07083613834004,7319,2
Random Forest,73b1447d,28.62267306119117,21.21951276503691,7522,1
Random Forest,74b6186b,20.709485101323754,16.292478858737727,5148,3
Random Forest,75c20ec7,251.2017550005758,217.6387503518069,7205,3
Random Forest,75cd5f11,9.006927476953651,7.482269932467673,6410,1
Random Forest,75d20a82,5.756007914229223,3.100914147551126,7002,2
Random Forest,76201745,123.54942032858165,70.13154683234012,5858,4
Random Forest,764072a5,22.663821530754266,18.09960339972401,4594,1
Random Forest,77b0d905,15.72528620256885,8.309955430376702,5923,5
Random Forest,77e4821c,99.90044480429823,75.34730017682118,6540,4
Random Forest,7850c72e,161.50587033516436,147.56871331879717,7712,5
Random Forest,78a4a386,30.46542956340692,25.844554631567465,6246,1
Random Forest,79507629,12.549706005379862,8.020738803995899,7320,1
Random Forest,796dbd4c,25.539847967525326,21.859329209050873,8069,3
Random Forest,7987f2f2,159.5007388428032,91.01409361097005,5714,2
Random Forest,7993a768,17.33022105883287,15.923105985546284,7047,4
Random Forest,7a5660b0,81.54119869585587,70.37745976060943,6936,4
Random Forest,7acda2df,9.313268122158679,7.827362976482244,4552,4
Random Forest,7b2c7b3c,18.04165286885493,11.918868142370457,4231,1
Random Forest,7b38844c,39.32562406573437,32.09101605390677,5197,3
Random Forest,7bb17b96,18.03308957478931,14.808424411568064,5295,1
Random Forest,7c607683,5.829462011111478,4.674294817902471,7001,3
Random Forest,7cbbd047,64.80309529325486,42.944703328167236,6790,4
Random Forest,7cd4bb31,6.731805825013326,5.256053427662331,7959,4
Random Forest,7d50373e,31.189766874514728,23.438406136606122,6494,1
Random Forest,7d57c75d,44.79901247223551,27.205965473801275,6147,5
Random Forest,7e208414,179.96810356029872,103.50331949050282,5732,3
Random Forest,7e721392,41.39825132868604,26.085325739688304,8301,4
Random Forest,7ff89f8f,13.333961251481716,7.438011604933839,9539,3
Random Forest,8050c789,28.254548072075533,23.94109573495756,4940,4
Random Forest,807f0298,16.826978095112658,12.364471702855788,5499,5
Random Forest,811f52b3,15.288402229508234,9.383794245299628,6674,1
Random Forest,81bf5923,36.298185226666654,29.807847871591765,6386,2
Random Forest,81fc01c6,17.872489764001905,14.482220966556847,7655,2
Random Forest,8255c867,10.77786728281892,7.331659509452483,5338,2
Random Forest,82aab6d2,85.36495715514093,74.44060546780675,7889,4
Random Forest,82fcf37c,10.857380720149663,8.446910848023672,7397,2
Random Forest,833af382,20.496924616627695,16.138378119805232,5377,5
Random Forest,8382f4b6,154.21442831582016,82.69335923177151,6680,5
Random Forest,84633df4,16.87803141803526,14.071281259993698,6719,1
Random Forest,8478df29,27.74980613596156,23.141576067095297,6698,4
Random Forest,84815d5a,44.151705939295525,35.51886928020325,5286,5
Random Forest,84c3b497,82.05852132661626,74.67415908793909,6887,4
Random Forest,85380836,12.335093099374467,10.613070850175879,8175,3
Random Forest,8612b37f,11.562441785442807,9.023678498127271,6807,3
Random Forest,861e71df,21.85940042829104,17.576800110288232,6284,1
Random Forest,86454a6f,50.49287647992144,34.48730651339799,9100,5
Random Forest,8648abae,153.64856033799384,138.28059412682725,6086,3
Random Forest,865033f8,10.307177919728032,7.77450377436609,5303,4
Random Forest,87695469,356.3570808097097,245.24612354200855,8654,1
Random Forest,877ed19c,603.0792145824802,521.0713234985018,5631,4
Random Forest,87aa3730,11.69990453759,10.463774923519065,7293,5
Random Forest,884ecb5f,15.303917607553137,11.676109485184261,8054,1
Random Forest,8902c3f6,6.280882861823618,5.021314557120072,6533,2
Random Forest,896d15b9,106.66605680722334,72.77530601356304,5698,1
Random Forest,8995c945,48.26066767536401,39.85782306317002,8198,5
Random Forest,89969c7a,66.40326768742186,43.22615575815791,6317,2
Random Forest,89f1085d,178.23063784902328,152.01260286916576,7497,3
Random Forest,89f36adf,64.55534133238646,50.93765738139138,7041,2
Random Forest,89fdb2f2,7.379850211557894,3.976239832371626,3570,3
Random Forest,8a3da6d1,54.80899315304978,47.13155744422249,6334,1
Random Forest,8a89da23,15.26844698212421,12.935658168119625,5575,1
Random Forest,8a9c8932,16.895685912046233,9.89965650222166,6344,3
Random Forest,8ac2f237,19.515474693125206,17.06301540807516,6775,2
Random Forest,8b12bab6,44.54644156226388,14.40156919462938,6980,1
Random Forest,8b5be31b,26.47462344747376,15.000787158964737,7439,2
Random Forest,8b95d6d1,2.2036360714919736,1.212574928774667,2783,5
Random Forest,8b9d8326,73.19216711301898,65.7666491538395,7832,5
Random Forest,8bb9c1e6,18.23706145954034,15.016286138502858,6382,1
Random Forest,8bda1a11,10.851912581023505,8.535742251562645,7438,3
Random Forest,8bfa881d,70.93683232459315,44.911358498444805,5843,1
Random Forest,8c167025,165.38972663482585,80.37219568312365,7113,4
Random Forest,8c8348e8,96.42835828227247,86.8018435513781,5581,2
Random Forest,8cc21f01,104.61534255392806,89.29542237966572,5806,4
Random Forest,8cc800b3,349.12525795173815,274.60153239023674,8091,5
Random Forest,8d5d46d7,27.190293106167065,13.061621964055385,7282,2
Random Forest,8d92cb49,19.430884463499208,16.864024322181297,4839,5
Random Forest,8f201368,11.852000777917153,8.118144467171394,8151,2
Random Forest,90386ee4,9.26598110122134,6.549814377249335,5304,2
Random Forest,91abc4c7,62.499324568266104,37.35707647794966,7787,3
Random Forest,91b301ce,35.113004425199044,20.9954529996056,8512,3
Random Forest,91db7070,239.64206740559322,226.12271186014516,5646,5
Random Forest,925a7cd1,40.78789732407031,16.136325208277334,6501,3
Random Forest,9283ae69,39.0654376543655,24.45979297272746,5118,2
Random Forest,9298ad5b,238.0178004585001,219.3702566712094,5807,1
Random Forest,9314ff13,34.28490971973506,27.731118676993677,4494,5
Random Forest,93209a3d,37.99242685780932,33.174448789567656,6300,1
Random Forest,939d9c34,74.66579559607528,55.168054584981384,6627,4
Random Forest,93f5d2e6,98.34506914374258,73.59404483007471,5171,5
Random Forest,940a48d9,39.13506551428782,32.62010670028311,5627,4
Random Forest,940e709a,22.954920658565324,20.46647658371173,4989,2
Random Forest,9426ec1e,30.628949158922374,26.524276665267752,3923,4
Random Forest,94467f50,34.8534331958346,25.727732922250414,5116,1
Random Forest,944f36b9,23.078342835335196,16.35162877228126,6035,2
Random Forest,94d813a4,31.39926552474135,24.28209327693298,6591,5
Random Forest,95b559e7,12.469310491520167,9.24432817119632,4638,4
Random Forest,95c8427f,8.0792281053059,6.1916326960691555,8051,3
Random Forest,96936c22,19.296321408387982,14.707640737689328,4997,5
Random Forest,96ae5806,382.40272186797046,366.04197167464645,11527,5
Random Forest,96b7eea1,46.6360706944246,30.386327085688798,6078,1
Random Forest,9719aa04,31.093474176777296,18.964623767592723,6665,1
Random Forest,974802e7,18.656707775574514,13.60508182216769,7537,3
Random Forest,97cd5bf9,12.733105304735208,10.11675360247995,5099,1
Random Forest,98177ced,24.891046034876357,19.50076090308723,6789,5
Random Forest,9896fc0b,28.519961642545542,23.27843774935512,5109,4
Random Forest,98bc6f66,12.010896446005683,9.906063161287445,7720,5
Random Forest,992c99e8,15.90828221490596,12.899989205074595,6740,2
Random Forest,992ce078,19.032610776427262,12.349699953138733,4661,1
Random Forest,99529c45,126.2809576673274,110.65580405984355,7591,4
Random Forest,995ff498,10.728377312560236,9.144979172025108,6127,3
Random Forest,999daf80,31.784138769789475,25.423134507737014,5439,2
Random Forest,9a6b0392,127.05942563615028,105.03042780485565,5802,3
Random Forest,9a8ae0d6,43.1372947539522,38.402898360348345,7835,1
Random Forest,9a95e33f,53.02581944895859,42.1679986989997,8156,4
Random Forest,9ab94eeb,134.19338948581068,106.18232213039863,6372,5
Random Forest,9ad5410a,15.521421757760082,13.611531889075142,5749,1
Random Forest,9ae248be,31.39428278337617,24.8061647244757,6655,2
Random Forest,9af1ffd0,17.080141985730403,11.581928515428517,5454,5
Random Forest,9b5b61c1,50.173279972568736,31.741885668384654,7215,1
Random Forest,9b9e3b49,50.28566776018177,37.4341876726885,6875,2
Random Forest,9bd2bba3,10.287955773403914,8.168057949018463,9092,3
Random Forest,9c211c53,24.925881657830573,18.30573963259596,8842,1
Random Forest,9c350a6a,425.76261578714093,406.97226999170965,7794,3
Random Forest,9c8375f7,9.329477366976635,7.134287044777093,5432,2
Random Forest,9d072e4c,68.78485358337994,42.2234236449029,6798,2
Random Forest,9d3ec64c,140.6345969349658,119.4287921807149,4937,5
Random Forest,9d4272e3,68.78709857086645,41.7258268854833,5771,3
Random Forest,9d5e14d4,23.41642342806154,18.846697856194808,6565,3
Random Forest,9da441ba,14.834243627972622,13.180787249937909,7283,2
Random Forest,9dede370,41.80402744328981,35.212358495027296,8057,5
Random Forest,9def2eb2,36.27622278406368,32.46967688665659,7750,1
Random Forest,9df1b1f9,159.57520861585496,137.27534830442602,6444,3
Random Forest,9dfff011,19.701115611205722,16.025191462488202,6067,1
Random Forest,9e3e364d,80.47648183112297,58.89536969603897,5809,2
Random Forest,9efc812e,13.772174915380528,11.60069881926199,6100,2
Random Forest,9f0c7bae,52.6708874701661,48.04078313345758,4040,5
Random Forest,9ffce529,11.248735689791094,8.630215229584246,6675,3
Random Forest,a0383629,151.24129198561377,139.22437600321388,7687,3
Random Forest,a056d01e,24.3883075527573,18.595837804889975,8292,2
Random Forest,a08d9e63,32.42031642756287,13.673443643837347,5199,4
Random Forest,a0b83014,52.25753186403379,36.75032465885508,6873,5
Random Forest,a0e92ed6,259.9028782315414,187.331776712723,6446,1
Random Forest,a15bc102,17.472971380425385,13.108750174563182,5124,1
Random Forest,a247e7cf,9.786009356968195,7.358763276973384,7237,4
Random Forest,a2e8e7f6,8.79262442331695,6.129046338106311,5812,2
Random Forest,a3518960,28.499574164486518,22.018183285044127,6992,4
Random Forest,a3f71395,12.706431431352238,9.733800944749268,7040,5
Random Forest,a4719920,21.502308454847885,17.092568038257195,7495,5
Random Forest,a48640d9,45.70260662728408,37.16330287460999,6586,5
Random Forest,a4cdbb0f,33.36764983465486,28.713505053365022,6759,1
Random Forest,a4f989c2,6.321497017464794,4.201143788759682,7024,4
Random Forest,a5aa7973,35.60211323976174,23.37277944686868,6449,2
Random Forest,a5e6f7dc,114.98694632690568,44.187483406441864,7331,5
Random Forest,a612d5a0,26.854708499123316,23.446372117495308,7160,4
Random Forest,a622ce4d,24.74546675936783,18.98292822092368,8047,4
Random Forest,a645da9a,79.41273111187719,52.41959955162378,6766,3
Random Forest,a692b17e,17.1385351038535,13.932256886111658,5409,4
Random Forest,a6b8ac67,13.380136053015269,8.846474007181715,7017,1
Random Forest,a6ed2eff,53.81255260871207,47.38556319803645,7054,2
Random Forest,a6f967fb,138.96051955970904,126.74966443674381,7032,3
Random Forest,a76db406,3.0978317085533007,2.079503047471192,6451,3
Random Forest,a7744f5b,6.177066965901164,4.735404960398451,6017,5
Random Forest,a783cc24,30.33206692386604,21.133932086935303,3275,5
Random Forest,a79fd2e7,24.66466608933121,19.75316853333946,6327,5
Random Forest,a7fc3e6b,112.0281583442736,57.634019026702475,6378,1
Random Forest,a85bb86f,20.61751333274799,14.829920337964865,5100,5
Random Forest,a85e4bc3,9.886258569975876,8.163468246036036,5993,2
Random Forest,a87433c9,157.9360865738025,127.10113234015634,7460,5
Random Forest,a8ed028a,38.78021103890939,34.87311954456636,7310,3
Random Forest,a959858c,79.47029369561483,60.763698901197806,5770,4
Random Forest,a9c9b150,18.076612196622843,14.342397142844762,5826,4
Random Forest,aa95015b,33.04101773988566,29.163827366138047,5761,3
Random Forest,aaaf3c03,188.96792415511442,110.61733714676845,4728,5
Random Forest,aaeffccb,10.539032313280421,8.122092316420744,4586,3
Random Forest,ab112491,200.8996572045154,159.3989827596386,7178,2
Random Forest,ab18d3fc,55.644727803914265,32.006386543277905,7337,3
Random Forest,ab3ced07,42.84805859300528,25.247402103857045,6008,1
Random Forest,ab6fe95d,15.829959808755879,7.762130594793459,7424,3
Random Forest,ab94878e,23.3939115766573,20.78387493333766,7652,4
Random Forest,abf460d2,15.238276084083374,11.362281103037864,4763,3
Random Forest,ac6f01d5,163.40194396005026,108.56082095000015,6729,4
Random Forest,ad2133a8,14.649098329869048,12.094232471855852,7187,2
Random Forest,add9c322,34.481317433739726,26.728277161467172,5519,4
Random Forest,ae069086,9.890350418302862,7.250066293413644,6741,5
Random Forest,ae0784a8,158.72135787948045,94.54920035620883,9171,3
Random Forest,ae35f33a,102.41900428389819,85.51506513054058,6469,5
Random Forest,ae8959c3,50.359415047200095,38.810505900883896,6645,2
Random Forest,aed44918,193.20674204007187,163.9430616203538,4020,5
Random Forest,aee6393a,78.82669409032047,55.99957141718992,7146,5
Random Forest,af7a59ce,56.92958371512394,42.91655432322041,4330,5
Random Forest,aff4e561,11.334579414207768,9.827422126105994,7723,3
Random Forest,b04b58a3,136.10895245498975,108.12754394506399,5229,5
Random Forest,b0d42b0d,196.41876174411138,159.91594643688126,6357,1
Random Forest,b0f53bf4,94.58604735833116,86.6507148715823,4202,3
Random Forest,b19b0395,11.009499157474062,9.161596615805102,7196,3
Random Forest,b1efb8a4,34.37858032971808,22.968590747684445,7562,3
Random Forest,b32902c0,33.1130179230601,28.907366393188816,5737,2
Random Forest,b32e4903,17.1085149267031,14.580734311347605,7420,3
Random Forest,b3388334,42.860480706815615,38.48705569242913,7807,4
Random Forest,b37fd114,36.72023514491554,32.33811520193195,9786,4
Random Forest,b38e3116,27.51388603917775,14.17905043407471,7954,1
Random Forest,b4d8dd4f,18.06071931676146,12.230485196136312,5909,3
Random Forest,b4f37e6e,13.169168423868987,6.848459883231772,4499,4
Random Forest,b56bc0aa,11.04387889818105,9.525685018826868,7431,4
Random Forest,b585b4fa,19.0134876665787,15.273925150060112,5999,3
Random Forest,b5aa9634,12.313594529065755,7.52944219591942,8747,5
Random Forest,b7974e66,9.463336056253423,7.177151691954886,7170,4
Random Forest,b7cdcecb,15.583280841754348,10.45496567048751,7620,2
Random Forest,b7fea9ef,28.46923933810979,21.905148373135248,5575,5
Random Forest,b85f7b06,601.0842667953905,531.3697278943689,5453,4
Random Forest,b881d27e,30.287211996461615,17.794374837258335,5442,3
Random Forest,b8c49c1a,15.211946193240735,11.443165452156643,6254,2
Random Forest,b95e7121,25.673926639414223,22.750905471275647,7492,3
Random Forest,b977be4a,17.795674218196645,13.059908765656674,7495,2
Random Forest,ba48188d,85.28578858551745,70.85472229506848,5534,3
Random Forest,bb2cdd83,8.261135134691015,5.514150311629581,5665,3
Random Forest,bb337fa0,58.72505616278231,39.09488529113701,8216,1
Random Forest,bb682ebd,75.73254295136006,53.26444997142257,5931,2
Random Forest,bc4381e2,17.68011293911971,13.529641103460643,6885,2
Random Forest,bcebcc5f,6.057690155780904,2.5795939853528087,7889,3
Random Forest,bd2c2f34,20.696902595225275,17.492176234699134,11621,4
Random Forest,bd4ae5da,79.95477290579727,64.40122575175722,6905,4
Random Forest,bd6f0e19,41.68716392268877,27.34718105908805,6979,3
Random Forest,bd8f847e,30.73131361415967,23.974400265663867,6161,2
Random Forest,be063506,10.604027532335223,8.516735451397192,6539,5
Random Forest,be35c8f2,140.4548982576463,100.24534831443917,5898,2
Random Forest,be83e781,47.1604930811117,36.076172898250654,4776,2
Random Forest,beda8696,12.833845663666246,10.389756739491732,7868,1
Random Forest,bf39bc20,7.261069845498555,5.5081132391021805,5047,5
Random Forest,bf70b410,17.269856409823372,14.715989320451945,8000,3
Random Forest,bffe3082,424.32099457025043,399.0524701057169,7186,5
